CustomerID,LookalikeID,SimilarityScore
C0001,C0148,0.8722233960368526
C0001,C0096,0.8439633814009854
C0001,C0048,0.832465023614034
C0002,C0134,0.9746100158836024
C0002,C0159,0.9478323034576457
C0002,C0106,0.9263986887379394
C0003,C0158,0.9050322507411107
C0003,C0129,0.9013469270346542
C0003,C0031,0.8745580762963546
C0004,C0113,0.9512333933669741
C0004,C0012,0.9263327881579813
C0004,C0147,0.8842961462100849
C0005,C0007,0.9563615175954308
C0005,C0140,0.9397623907171072
C0005,C0146,0.8637791337918594
C0006,C0187,0.8542290605983812
C0006,C0153,0.8448943469973853
C0006,C0071,0.8298978893762269
C0007,C0005,0.9563615175954308
C0007,C0140,0.9089428324901196
C0007,C0186,0.7947285377612402
C0008,C0098,0.9262278050964321
C0008,C0059,0.9075085348592861
C0008,C0065,0.8945036621047259
C0009,C0198,0.9314954087114702
C0009,C0010,0.8315176520802314
C0009,C0149,0.8213859946338364
C0010,C0061,0.9716147763299519
C0010,C0111,0.8356966247757482
C0010,C0009,0.8315176520802314
C0011,C0126,0.960206433085738
C0011,C0191,0.9046233115656677
C0011,C0174,0.8907118838025163
C0012,C0004,0.9263327881579813
C0012,C0113,0.9024223108137007
C0012,C0104,0.8735022911103654
C0013,C0184,0.9173796764414324
C0013,C0188,0.8832228436046077
C0013,C0107,0.8741581245552926
C0014,C0110,0.8565591963226138
C0014,C0060,0.8521019747320331
C0014,C0080,0.834885958720284
C0015,C0131,0.8767942481516051
C0015,C0160,0.8645930581503056
C0015,C0038,0.8274022207523318
C0016,C0183,0.9669641552347717
C0016,C0067,0.9260749266010992
C0016,C0072,0.8116022378235374
C0017,C0075,0.9786895086338508
C0017,C0041,0.959815176851449
C0017,C0057,0.902989805253841
C0018,C0125,0.9310746885733727
C0018,C0035,0.8748897733647363
C0018,C0055,0.8236095008786257
C0019,C0070,0.9318516019143065
C0019,C0064,0.9250384039309455
C0019,C0023,0.857257452858185
C0020,C0130,0.8227211667244755
C0020,C0120,0.7103420211102515
C0020,C0035,0.7100431098475999
